"districtlea","district_name","county_name","shortage_status","retention_prepandemic_pct","retention_recent_pct","retention_change_pp"
"3002000","Glen Rose School District","Hot Spring County","Not Shortage",87.3,84.8,-2.5
"3003000","Magnet Cove School District","Hot Spring County","Not Shortage",84.3,83.2,-1.1
"3004000","Malvern Special School District","Hot Spring County","Not Shortage",83,76.2,-6.8
"3005000","Ouachita School District","Hot Spring County","Not Shortage",85.8,81.5,-4.3
"3102000","Dierks School District","Howard County","Not Shortage",83.4,83.6,0.2
"3104000","Mineral Springs School District","Howard County","Not Shortage",81.9,71.2,-10.7
"3105000","Nashville School District","Howard County","Not Shortage",91,89.4,-1.6
"3201000","Batesville School District","Independence County","Not Shortage",83.7,80.4,-3.3
"3209000","Southside School District","Independence County","Not Shortage",85.9,87.9,2
"3211000","Midland School District","Independence County","Shortage",77.1,75.3,-1.8
"3212000","Cedar Ridge School District","Independence County","Shortage",80.5,82.9,2.4
"3301000","Calico Rock School District","Izard County","Not Shortage",83.4,77.1,-6.4
"3302000","Melbourne School District","Izard County","Not Shortage",87.2,83,-4.2
"3306000","Izard Cty Consolidated Schools","Izard County","Shortage",89.8,81.2,-8.6
"3403000","Newport School District","Jackson County","Not Shortage",78.9,80,1.2
"3405000","Jackson County School District","Jackson County","Not Shortage",89,89.4,0.4
"3505000","Pine Bluff School District","Jefferson County","Shortage",75.6,71.2,-4.3
"3509000","Watson Chapel School District","Jefferson County","Shortage",77.4,66.9,-10.5
"3510000","White Hall School District","Jefferson County","Not Shortage",88.4,82.4,-6.1
"3601000","Clarksville School District","Johnson County","Not Shortage",89.6,82.6,-6.9
"3604000","Lamar School District","Johnson County","Not Shortage",90.9,84.3,-6.6
"3606000","Westside School District","Johnson County","Not Shortage",80.2,86.2,6.1
"3704000","Lafayette County School District","Lafayette County","Shortage",73.7,75.8,2.1
"3804000","Hoxie School District","Lawrence County","Not Shortage",85.2,75.9,-9.3
"3806000","Sloan-Hendrix School District","Lawrence County","Not Shortage",87.9,90.7,2.8
"3809000","Hillcrest School District","Lawrence County","Not Shortage",83.1,86.2,3.1
"3810000","Lawrence County School District","Lawrence County","Not Shortage",89,90.7,1.7
"3904000","Lee County School District","Lee County","Shortage",68.3,67.5,-0.8
"4003000","Star City School District","Lincoln County","Shortage",84.7,81.9,-2.8
"4101000","Ashdown School District","Little River County","Not Shortage",83.1,82.2,-1
"4102000","Foreman School District","Little River County","Shortage",82.9,77.9,-4.9
"4201000","Booneville School District","Logan County","Not Shortage",87.8,89.4,1.6
"4202000","Magazine Schools","Logan County","Shortage",86.4,84,-2.4
"4203000","Paris School District","Logan County","Not Shortage",83.4,85.7,2.3
"4204000","Scranton School District","Logan County","Not Shortage",84,89.4,5.5
"4301000","Lonoke School District","Lonoke County","Not Shortage",82.7,79.8,-3
"4302000","England School District","Lonoke County","Not Shortage",72,78.4,6.4
"4303000","Carlisle School District","Lonoke County","Not Shortage",75.9,83.5,7.6
"4304000","Cabot Public Schools","Lonoke County","Not Shortage",90,87.4,-2.5
"4401000","Huntsville School District","Madison County","Not Shortage",84.6,81.1,-3.4
"4501000","Flippin School District","Marion County","Not Shortage",89.2,93,3.8
"4502000","Yellville-Summit School District","Marion County","Not Shortage",89.1,84.2,-5
"4602000","Genoa Central School District","Miller County","Shortage",87.7,90.7,3
"4603000","Fouke School District","Miller County","Shortage",81.7,78.7,-3
"4605000","Texarkana School District","Miller County","Shortage",77.4,74.4,-3
